FID	IID	phe_gcf
94658_E10_HBCS514862	94658_E10_HBCS514862	-2.21426796956068
94658_E12_HBCS514889	94658_E12_HBCS514889	-.417153345340829
94658_F01_HBCS514157	94658_F01_HBCS514157	1.5385419763953
94658_F02_HBCS514099	94658_F02_HBCS514099	.827941002135686
94658_F03_HBCS514160	94658_F03_HBCS514160	1.44016489010572
94658_G01_HBCS514181	94658_G01_HBCS514181	1.35032078848531
94658_G02_HBCS514111	94658_G02_HBCS514111	-1.82943393139226
94658_G11_HBCS514864	94658_G11_HBCS514864	-.624685352087102
94658_H01_HBCS514098	94658_H01_HBCS514098	-1.77815601234561
94658_H09_HBCS514896	94658_H09_HBCS514896	-.463183001460483
94658_H10_HBCS514934	94658_H10_HBCS514934	.167239802676171
94658_H11_HBCS514876	94658_H11_HBCS514876	-1.02879909319402
94660_B10_HBCS514441	94660_B10_HBCS514441	.395482071905919
94660_C10_HBCS514453	94660_C10_HBCS514453	-1.92055897576932
94660_C12_HBCS514433	94660_C12_HBCS514433	-.443424253949936
94660_D10_HBCS514465	94660_D10_HBCS514465	1.68747338866156
94660_D12_HBCS514445	94660_D12_HBCS514445	1.40259852384303
94660_E10_HBCS514382	94660_E10_HBCS514382	.562961593325848
94660_E11_HBCS514456	94660_E11_HBCS514456	.153617255478866
94660_E12_HBCS514457	94660_E12_HBCS514457	1.09745757240014
94660_F09_HBCS514393	94660_F09_HBCS514393	.902040462777846
94660_F10_HBCS514394	94660_F10_HBCS514394	.0621754936996179
94660_F12_HBCS514469	94660_F12_HBCS514469	1.15565125113389
94660_G09_HBCS514405	94660_G09_HBCS514405	1.04548600020978
94660_G11_HBCS514385	94660_G11_HBCS514385	-.604744299160042
94660_H08_HBCS514416	94660_H08_HBCS514416	-.453547428719219
94660_H10_HBCS514396	94660_H10_HBCS514396	1.26721617632922
94660_H11_HBCS514397	94660_H11_HBCS514397	1.26389152765896
94661_A01_HBCS514410	94661_A01_HBCS514410	1.05110870951549
94661_A06_HBCS514427	94661_A06_HBCS514427	-.730300345159496
94661_A10_HBCS514481	94661_A10_HBCS514481	.226892014071847
94661_A11_HBCS514530	94661_A11_HBCS514530	1.40125535213153
94661_B01_HBCS514422	94661_B01_HBCS514422	-.51888450891228
94661_B06_HBCS514476	94661_B06_HBCS514476	-1.68682636083801
94661_C02_HBCS514435	94661_C02_HBCS514435	-.214784631930611
94661_C06_HBCS514488	94661_C06_HBCS514488	.0590567062620566
94661_C11_HBCS514554	94661_C11_HBCS514554	-1.69375310514203
94661_D01_HBCS514446	94661_D01_HBCS514446	-.468454960459792
94661_D03_HBCS514448	94661_D03_HBCS514448	1.42486342427156
94661_D06_HBCS514500	94661_D06_HBCS514500	-.513860856009124
94661_D08_HBCS514550	94661_D08_HBCS514550	-.33880191562411
94661_D09_HBCS514480	94661_D09_HBCS514480	-.788344399508809
94661_D11_HBCS514566	94661_D11_HBCS514566	.463135688053284
94661_E01_HBCS514458	94661_E01_HBCS514458	.108075820794538
94661_E02_HBCS514459	94661_E02_HBCS514459	-.219589826830725
94661_E04_HBCS514461	94661_E04_HBCS514461	1.15023286045181
94661_E07_HBCS514513	94661_E07_HBCS514513	-.679525177565944
94661_E10_HBCS514482	94661_E10_HBCS514482	.47218711261812
94661_E11_HBCS514483	94661_E11_HBCS514483	.607837960896394
94661_F04_HBCS514473	94661_F04_HBCS514473	1.54364617135991
94661_F10_HBCS514494	94661_F10_HBCS514494	-1.29892277281023
94661_F11_HBCS514495	94661_F11_HBCS514495	.829604852631946
94661_G04_HBCS514390	94661_G04_HBCS514390	-.821971897823703
94661_G06_HBCS514536	94661_G06_HBCS514536	.540221890620798
94661_G07_HBCS514537	94661_G07_HBCS514537	.967623950855522
94661_G08_HBCS514515	94661_G08_HBCS514515	.554351877531615
94661_G10_HBCS514506	94661_G10_HBCS514506	-.887590958148196
94661_G11_HBCS514507	94661_G11_HBCS514507	-.776985110239887
94661_H03_HBCS514401	94661_H03_HBCS514401	-.14027907491029
94661_H06_HBCS514548	94661_H06_HBCS514548	-.121286680591547
94661_H07_HBCS514549	94661_H07_HBCS514549	1.29527348188336
94661_H11_HBCS514519	94661_H11_HBCS514519	-.0854558114626173
94661_H12_HBCS514520	94661_H12_HBCS514520	-.86398829659753
94662_A03_HBCS514534	94662_A03_HBCS514534	.158135342592717
