FID	IID	phe_gcf
LBC360286	LBC360286	-0.739860262
LBC361063	LBC361063	-0.732273087
LBC360731	LBC360731	-0.732214323
LBC360897	LBC360897	-0.731197455
LBC361198	LBC361198	-0.726788661
LBC360116	LBC360116	-0.726615481
LBC360564	LBC360564	-0.725003645
LBC360071	LBC360071	-0.723508751
LBC360406	LBC360406	-0.721446914
LBC360294	LBC360294	-0.715330124
LBC361042	LBC361042	-0.713810898
LBC361155	LBC361155	-0.712273874
LBC360700	LBC360700	-0.711322188
LBC360782	LBC360782	-0.710405177
LBC360858	LBC360858	-0.709571664
LBC361124	LBC361124	-0.702725256
LBC360838	LBC360838	-0.697575411
LBC360971	LBC360971	-0.693798376
LBC360944	LBC360944	-0.686207402
LBC360960	LBC360960	-0.677192684
LBC360908	LBC360908	-0.676420862
LBC360975	LBC360975	-0.674956103
LBC360713	LBC360713	-0.67303245
LBC360326	LBC360326	-0.670198045
LBC360065	LBC360065	-0.669639146
LBC360589	LBC360589	-0.664833329
LBC360407	LBC360407	-0.658887475
LBC360555	LBC360555	-0.655423878
LBC360456	LBC360456	-0.651689747
LBC360155	LBC360155	-0.648099275
LBC360033	LBC360033	-0.647848066
LBC360762	LBC360762	-0.643185491
LBC360345	LBC360345	-0.642728657
LBC361189	LBC361189	-0.640813893
LBC360350	LBC360350	-0.635108238
LBC360068	LBC360068	-0.633544824
LBC360620	LBC360620	-0.633132126
LBC361227	LBC361227	-0.629303623
LBC360397	LBC360397	-0.628732464
LBC360633	LBC360633	-0.621898571
LBC360549	LBC360549	-0.620910985
LBC360226	LBC360226	-0.619667832
LBC360278	LBC360278	-0.61819601
LBC360792	LBC360792	-0.617398659
LBC360276	LBC360276	-0.599189468
LBC360877	LBC360877	-0.597563355
LBC360017	LBC360017	-0.595475963
LBC360687	LBC360687	-0.595389813
LBC360127	LBC360127	-0.594949181
LBC360968	LBC360968	-0.593690757
LBC361267	LBC361267	-0.586362325
LBC360270	LBC360270	-0.582958124
LBC360568	LBC360568	-0.574343574
LBC360321	LBC360321	-0.564172948
LBC361297	LBC361297	-0.562857332
LBC361194	LBC361194	-0.555689218
LBC361285	LBC361285	-0.547902073
LBC361298	LBC361298	-0.547766055
LBC360712	LBC360712	-0.542892132
LBC361295	LBC361295	-0.541567203
LBC360221	LBC360221	-0.537872249
LBC361110	LBC361110	-0.535920247
LBC360586	LBC360586	-0.532904245
LBC360502	LBC360502	-0.526920317
LBC360094	LBC360094	-0.524128773
LBC360726	LBC360726	-0.52259685
LBC361123	LBC361123	-0.521474062
LBC360466	LBC360466	-0.513575924
LBC360676	LBC360676	-0.508973617
LBC360915	LBC360915	-0.508095052
LBC360506	LBC360506	-0.504256197
LBC361079	LBC361079	-0.502806438
LBC360878	LBC360878	-0.500140852
LBC360843	LBC360843	-0.492887747
LBC360707	LBC360707	-0.49279204
LBC361021	LBC361021	-0.492002539
LBC360036	LBC360036	-0.48300128
LBC360341	LBC360341	-0.479310821
LBC360599	LBC360599	-0.476256615
LBC361137	LBC361137	-0.475401915
LBC360728	LBC360728	-0.47017229
LBC360413	LBC360413	-0.463952474
LBC360324	LBC360324	-0.457769981
LBC361307	LBC361307	-0.452985971
LBC360225	LBC360225	-0.452470868
LBC361251	LBC361251	-0.446063471
LBC360677	LBC360677	-0.441707629
LBC360649	LBC360649	-0.438221318
LBC360240	LBC360240	-0.428818242
LBC360041	LBC360041	-0.427136362
LBC360688	LBC360688	-0.427090509
LBC361206	LBC361206	-0.423234555
LBC360715	LBC360715	-0.422373297
LBC361220	LBC361220	-0.421558531
LBC361211	LBC361211	-0.420316435
LBC360583	LBC360583	-0.41991682
LBC360995	LBC360995	-0.417338686
LBC361203	LBC361203	-0.410194846
LBC361066	LBC361066	-0.40860288
LBC360654	LBC360654	-0.404773019
LBC360412	LBC360412	-0.403632996
LBC361041	LBC361041	-0.397256671
LBC360342	LBC360342	-0.397192157
LBC361011	LBC361011	-0.396428555
LBC360108	LBC360108	-0.392041507
LBC360613	LBC360613	-0.389588946
LBC361070	LBC361070	-0.389513185
LBC360238	LBC360238	-0.388662041
LBC361122	LBC361122	-0.385702252
LBC360614	LBC360614	-0.383309315
LBC360253	LBC360253	-0.38221309
LBC360313	LBC360313	-0.368795515
LBC360074	LBC360074	-0.36846089
LBC361262	LBC361262	-0.36089231
LBC360865	LBC360865	-0.360714031
LBC360868	LBC360868	-0.359816283
LBC360683	LBC360683	-0.357594474
LBC360020	LBC360020	-0.349441468
LBC360656	LBC360656	-0.346191983
LBC360171	LBC360171	-0.343390796
LBC360051	LBC360051	-0.341488881
LBC360481	LBC360481	-0.337186959
LBC360277	LBC360277	-0.327494534
LBC360673	LBC360673	-0.326000938
LBC360602	LBC360602	-0.323947411
LBC360210	LBC360210	-0.323666015
LBC360098	LBC360098	-0.323659796
LBC360165	LBC360165	-0.322560036
LBC360394	LBC360394	-0.321715364
LBC361224	LBC361224	-0.320919596
LBC360227	LBC360227	-0.320118673
LBC360883	LBC360883	-0.319814333
LBC360410	LBC360410	-0.31574365
LBC360757	LBC360757	-0.314260984
LBC361047	LBC361047	-0.312437041
LBC360660	LBC360660	-0.305305748
LBC360049	LBC360049	-0.302341945
LBC360761	LBC360761	-0.301884872
LBC360691	LBC360691	-0.299674514
LBC360610	LBC360610	-0.298617749
LBC360315	LBC360315	-0.298140279
LBC360940	LBC360940	-0.285994687
LBC361136	LBC361136	-0.284509836
LBC360097	LBC360097	-0.278161032
LBC360230	LBC360230	-0.268862722
LBC360289	LBC360289	-0.265652764
LBC361020	LBC361020	-0.26200776
LBC360356	LBC360356	-0.260383953
LBC361120	LBC361120	-0.254425683
LBC361193	LBC361193	-0.248357748
LBC360168	LBC360168	-0.247844648
LBC360485	LBC360485	-0.245906418
LBC360363	LBC360363	-0.245422281
LBC361183	LBC361183	-0.243805478
LBC360615	LBC360615	-0.242541894
LBC360025	LBC360025	-0.24069637
LBC360292	LBC360292	-0.238242106
LBC361076	LBC361076	-0.234931243
LBC361023	LBC361023	-0.234295474
LBC360246	LBC360246	-0.229945302
LBC361132	LBC361132	-0.224397828
LBC360689	LBC360689	-0.22280024
LBC360854	LBC360854	-0.21943881
LBC361201	LBC361201	-0.218782774
LBC360626	LBC360626	-0.216347141
LBC361196	LBC361196	-0.21469995
LBC360186	LBC360186	-0.212531675
LBC360669	LBC360669	-0.21128009
LBC360607	LBC360607	-0.210496372
LBC361256	LBC361256	-0.208561261
LBC361098	LBC361098	-0.208126084
LBC360978	LBC360978	-0.207897202
LBC360826	LBC360826	-0.20645162
LBC360043	LBC360043	-0.205143968
LBC361268	LBC361268	-0.201464214
LBC360690	LBC360690	-0.199915897
LBC361114	LBC361114	-0.197590677
LBC361217	LBC361217	-0.197403985
LBC361265	LBC361265	-0.19492887
LBC360723	LBC360723	-0.191398844
LBC361278	LBC361278	-0.189433666
LBC360231	LBC360231	-0.188959056
LBC360513	LBC360513	-0.187199539
LBC360990	LBC360990	-0.183433492
LBC360845	LBC360845	-0.175077962
LBC360083	LBC360083	-0.171310857
LBC360469	LBC360469	-0.170876548
LBC360704	LBC360704	-0.166969955
LBC360647	LBC360647	-0.166643789
LBC361308	LBC361308	-0.160841308
LBC360632	LBC360632	-0.156830039
LBC360280	LBC360280	-0.156668827
LBC360945	LBC360945	-0.155315504
LBC360981	LBC360981	-0.153371853
LBC361043	LBC361043	-0.147194024
LBC360779	LBC360779	-0.14668668
LBC360511	LBC360511	-0.145104714
LBC360596	LBC360596	-0.135119105
LBC360672	LBC360672	-0.133602278
LBC360182	LBC360182	-0.133588145
LBC360493	LBC360493	-0.128476477
LBC361167	LBC361167	-0.127171911
LBC361305	LBC361305	-0.123589497
LBC360002	LBC360002	-0.123163544
LBC361301	LBC361301	-0.122610983
LBC360290	LBC360290	-0.119561634
LBC360498	LBC360498	-0.117177573
LBC361100	LBC361100	-0.116042946
LBC360351	LBC360351	-0.113020804
LBC361134	LBC361134	-0.109113941
LBC360624	LBC360624	-0.107099333
LBC360809	LBC360809	-0.105314954
LBC360824	LBC360824	-0.10507342
LBC360705	LBC360705	-0.099852828
LBC361072	LBC361072	-0.09240363
LBC361182	LBC361182	-0.090548992
LBC361126	LBC361126	-0.081533887
LBC360069	LBC360069	-0.077851675
LBC360810	LBC360810	-0.072123966
LBC361102	LBC361102	-0.064763691
LBC360157	LBC360157	-0.06317229
LBC360011	LBC360011	-0.063151183
LBC360841	LBC360841	-0.062285365
LBC360228	LBC360228	-0.062191364
LBC361190	LBC361190	-0.060906465
LBC360125	LBC360125	-0.058084205
LBC360847	LBC360847	-0.057666531
LBC360927	LBC360927	-0.056081598
LBC360612	LBC360612	-0.052517382
LBC360120	LBC360120	-0.05205727
LBC360319	LBC360319	-0.051364827
LBC360922	LBC360922	-0.050498453
LBC360138	LBC360138	-0.05023322
LBC361068	LBC361068	-0.048920256
LBC360543	LBC360543	-0.048098689
LBC360636	LBC360636	-0.047509298
LBC360539	LBC360539	-0.045880081
LBC360291	LBC360291	-0.044224712
LBC360288	LBC360288	-0.042170813
LBC360272	LBC360272	-0.040386072
LBC360799	LBC360799	-0.040294062
LBC361188	LBC361188	-0.038375199
LBC361272	LBC361272	-0.038370183
LBC360063	LBC360063	-0.032343136
LBC361027	LBC361027	-0.031979549
LBC360603	LBC360603	-0.028874971
LBC360970	LBC360970	-0.025973748
LBC360616	LBC360616	-0.025564311
LBC361288	LBC361288	-0.024691629
LBC360794	LBC360794	-0.010796055
LBC360295	LBC360295	-0.005803045
LBC360439	LBC360439	5.69458e-4
LBC361271	LBC361271	0.001947398
LBC360471	LBC360471	0.005244088
LBC360189	LBC360189	0.007410437
LBC360180	LBC360180	0.007655379
LBC360040	LBC360040	0.01229804
LBC360179	LBC360179	0.013843035
LBC360219	LBC360219	0.019888271
LBC361036	LBC361036	0.022846102
LBC361229	LBC361229	0.023562694
LBC360449	LBC360449	0.033731647
LBC360873	LBC360873	0.036745034
LBC360866	LBC360866	0.037692582
LBC361261	LBC361261	0.039481739
LBC360650	LBC360650	0.040348238
LBC361017	LBC361017	0.041323683
LBC360982	LBC360982	0.04287594
LBC360505	LBC360505	0.045380682
LBC361000	LBC361000	0.045885144
LBC361031	LBC361031	0.048490835
LBC360667	LBC360667	0.0572675
LBC360371	LBC360371	0.062973396
LBC360474	LBC360474	0.067550592
LBC360640	LBC360640	0.069700739
LBC360600	LBC360600	0.072154234
LBC360343	LBC360343	0.076521792
LBC360194	LBC360194	0.079371391
LBC360385	LBC360385	0.085065432
LBC360223	LBC360223	0.093337095
LBC360048	LBC360048	0.094814019
LBC360993	LBC360993	0.096811957
LBC361200	LBC361200	0.0984261
LBC360685	LBC360685	0.099737205
LBC360905	LBC360905	0.101676394
LBC361001	LBC361001	0.102672393
LBC360092	LBC360092	0.105861441
LBC360479	LBC360479	0.107290462
LBC360302	LBC360302	0.110565726
LBC360234	LBC360234	0.110685475
LBC361274	LBC361274	0.111791976
LBC360812	LBC360812	0.120793284
LBC360353	LBC360353	0.120910079
LBC361171	LBC361171	0.121827725
LBC360595	LBC360595	0.130186951
LBC360368	LBC360368	0.13258575
LBC361029	LBC361029	0.132967812
LBC360961	LBC360961	0.133254556
LBC360093	LBC360093	0.133880916
LBC361214	LBC361214	0.133924158
LBC360793	LBC360793	0.142722024
LBC360055	LBC360055	0.148503436
LBC360725	LBC360725	0.157472854
LBC360590	LBC360590	0.16171952
LBC360842	LBC360842	0.16331642
LBC360251	LBC360251	0.16767291
LBC360579	LBC360579	0.171607948
LBC360435	LBC360435	0.173027273
LBC360192	LBC360192	0.174228236
LBC361131	LBC361131	0.179285573
LBC360411	LBC360411	0.181271705
LBC360185	LBC360185	0.187238724
LBC361045	LBC361045	0.189302779
LBC360447	LBC360447	0.192025663
LBC360523	LBC360523	0.192129341
LBC360509	LBC360509	0.197546022
LBC361090	LBC361090	0.197729431
LBC361179	LBC361179	0.19922418
LBC360348	LBC360348	0.200710513
LBC360232	LBC360232	0.201035682
LBC360187	LBC360187	0.206805551
LBC360912	LBC360912	0.211392465
LBC361176	LBC361176	0.214107136
LBC360012	LBC360012	0.215712492
LBC360721	LBC360721	0.219828696
LBC361284	LBC361284	0.225432904
LBC360701	LBC360701	0.227667251
LBC361064	LBC361064	0.227950838
LBC361030	LBC361030	0.228598709
LBC360999	LBC360999	0.229657762
LBC360177	LBC360177	0.230231699
LBC361091	LBC361091	0.233224909
LBC360864	LBC360864	0.235946964
LBC361300	LBC361300	0.236286926
LBC360081	LBC360081	0.236392391
LBC361153	LBC361153	0.239605548
LBC361142	LBC361142	0.24408558
LBC360261	LBC360261	0.244846165
LBC361074	LBC361074	0.246230771
LBC360808	LBC360808	0.249156719
LBC361025	LBC361025	0.253245303
LBC360387	LBC360387	0.254267898
LBC360933	LBC360933	0.254488421
LBC361104	LBC361104	0.259069906
LBC361034	LBC361034	0.260493944
LBC361257	LBC361257	0.263241714
LBC360948	LBC360948	0.269841412
LBC361231	LBC361231	0.272517822
LBC360233	LBC360233	0.274130989
LBC361013	LBC361013	0.278177871
LBC360144	LBC360144	0.279014947
LBC360454	LBC360454	0.28136458
LBC360928	LBC360928	0.282248955
LBC360573	LBC360573	0.283438742
LBC360205	LBC360205	0.28811996
LBC360946	LBC360946	0.289750353
LBC360679	LBC360679	0.290160472
LBC361236	LBC361236	0.295531948
LBC360966	LBC360966	0.300445856
LBC360014	LBC360014	0.306242199
LBC360541	LBC360541	0.30945738
LBC360853	LBC360853	0.310490369
LBC360090	LBC360090	0.31461848
LBC361007	LBC361007	0.31597786
LBC361060	LBC361060	0.319946751
LBC361157	LBC361157	0.320352046
LBC360527	LBC360527	0.324671212
LBC360719	LBC360719	0.327192071
LBC360274	LBC360274	0.328063115
LBC360941	LBC360941	0.329179369
LBC360964	LBC360964	0.330874768
LBC361181	LBC361181	0.340297457
LBC361138	LBC361138	0.340337837
LBC360833	LBC360833	0.340751244
LBC360724	LBC360724	0.341674121
LBC360893	LBC360893	0.341984753
LBC360332	LBC360332	0.342756586
LBC360461	LBC360461	0.343432992
LBC360452	LBC360452	0.343976494
LBC360400	LBC360400	0.346583574
LBC361246	LBC361246	0.350517479
LBC360947	LBC360947	0.351240567
LBC360804	LBC360804	0.35165571
LBC360863	LBC360863	0.351725995
LBC360035	LBC360035	0.354194567
LBC360917	LBC360917	0.354401166
LBC360031	LBC360031	0.354942802
LBC360653	LBC360653	0.359343732
LBC360241	LBC360241	0.361943582
LBC360100	LBC360100	0.368007766
LBC360030	LBC360030	0.370302673
LBC360311	LBC360311	0.371421276
LBC360383	LBC360383	0.371446148
LBC360755	LBC360755	0.372839247
LBC361143	LBC361143	0.376849879
LBC360575	LBC360575	0.379184089
LBC361191	LBC361191	0.381505925
LBC360831	LBC360831	0.385487699
